date,country,outlier_flag,temperature_mean,temperature_max,precipitation,windspeed_max,demand_z,demand_lag7,is_bank_holiday,is_weekend,Amount of collisions happen each day,daily_count,fires_z,collisions_z,Y_severity,Y_class
2010-01-02,England,0,4.571,7.193,5.06,26.986,2.4281733586971925,2.015175036066687,0,0,177,1382.98,0.7071067811865476,-0.7071067811865476,0.438708451736451,0
2010-01-02,Scotland,0,1.768,3.938,2.6,21.132,2.7349430313113126,2.54372777002406,0,0,21,66.0,0.7071067811865476,0.7071067811865476,0.3990387506212789,0
2010-01-02,Wales,0,6.47,8.195,7.967,28.636,2.43433816239568,2.029257083355131,0,0,9,86.64,0.7071067811865472,0.7071067811865475,0.5325288012981078,1
2010-01-03,England,0,2.624,7.524,0.0,11.691,2.4281733586971925,2.015175036066687,0,0,169,1493.52,1.0253051851949315,-0.912057922397536,0.4492886404989523,0
2010-01-03,Scotland,0,-0.443,4.476,0.0,13.34,2.7349430313113126,2.54372777002406,0,0,19,93.0,1.132546313104735,0.4730161648796401,0.4622443594943091,0
2010-01-03,Wales,0,3.129,8.078,0.0,14.741,2.43433816239568,2.029257083355131,0,0,6,208.06,1.1433721812517794,-1.091089451179962,0.3927905859533926,0
2010-01-04,England,0,4.343,7.914,2.46,27.557,2.4281733586971925,2.015175036066687,0,0,252,1551.0,1.0450160239551394,1.4598911918892934,0.6730646930438636,1
2010-01-04,Scotland,0,2.592,4.888,1.175,26.495,2.7349430313113126,2.54372777002406,0,0,19,109.0,1.1673510034233296,0.4173375325965112,0.4709850786350643,0
2010-01-04,Wales,0,4.714,7.145,5.133,25.017,2.43433816239568,2.029257083355131,0,0,11,261.6,0.8603333802740729,1.2009611535381537,0.5957476578300236,1
2010-01-05,England,0,9.823,13.384,3.6,17.347,2.4281733586971925,2.015175036066687,0,1,247,1843.0,1.5700959480386516,1.0112818378557291,0.6801935402420235,1
2010-01-05,Scotland,0,6.826,8.613,1.2,16.978,2.7349430313113126,2.54372777002406,0,1,14,121.0,1.172818072909374,-0.1645225491321244,0.5283695610371228,1
2010-01-05,Wales,0,9.932,12.845,4.767,12.381,2.43433816239568,2.029257083355131,0,1,16,172.39,0.3584189113261359,1.5756771943166703,0.5874738664346524,1
2010-01-06,England,0,12.168,14.393,7.0,11.989,2.4281733586971925,2.015175036066687,0,0,173,1683.0,0.7090184969929545,-0.7455451975272084,0.4352907147946523,0
2010-01-06,Scotland,0,11.651,14.001,7.1,19.263,2.7349430313113126,2.54372777002406,0,0,10,101.0,0.3894293055262901,-0.6316338213161216,0.499763622107025,0
2010-01-06,Wales,0,12.889,14.845,9.667,16.649,2.43433816239568,2.029257083355131,0,0,2,160.8,0.1742871758022097,-1.4128014666017077,0.2725219264734044,0
2010-01-07,England,0,19.387,24.234,0.16,23.429,2.4281733586971925,2.015175036066687,0,0,181,1987.0,1.5347001471411583,-0.4904848779860458,0.5363698118572728,0
2010-01-07,Scotland,0,16.108,17.838,3.3,25.697,2.7349430313113126,2.54372777002406,0,0,15,84.0,-0.2863648591363067,0.0911684611677103,0.3650641540598761,0
2010-01-07,Wales,0,17.575,20.778,10.567,26.684,2.43433816239568,2.029257083355131,0,0,8,84.13,-0.9281366686771482,-0.1324290367046203,0.2999830632172297,0
2010-01-08,England,0,16.165,19.254,0.16,14.364,2.733545489288449,0.6596013975803763,0,1,201,1966.0,1.199206427499306,0.0683681720622325,0.5572852738333554,1
2010-01-08,Scotland,0,14.347,17.438,2.0,16.435,3.4011137243851515,1.5266460289424684,0,1,17,78.0,-0.5119317499201556,0.3830654388414368,0.3151549921987384,0
2010-01-08,Wales,0,15.817,17.928,0.5,15.617,2.733815971529399,0.6996139328127683,0,1,7,79.03,-0.8919542880326746,-0.340908259321076,0.2824722293621612,0
2010-01-09,England,0,13.801,19.104,0.0,9.335,1.8947852476416625,1.0354371117367296,0,0,158,2025.0,1.205812914939758,-1.0765013551494045,0.4507827106822487,0
2010-01-09,Scotland,0,12.059,16.238,1.1,7.254,2.6415311636522603,1.745573333414354,0,0,11,128.0,1.463184045591116,-0.5915710062774092,0.5976296444210591,1
2010-01-09,Wales,0,14.513,18.945,0.0,10.204,1.9109378733193136,1.0682020055927297,0,0,7,74.67,-0.8663410920487934,-0.3215879404125771,0.2867303561361979,0
2010-01-10,England,0,12.841,14.284,16.74,31.299,1.676625412847321,1.137860201819244,0,0,71,1644.0,-0.1622141775625338,-2.078247849274168,0.229121657214141,0
2010-01-10,Scotland,0,11.126,13.138,7.1,31.756,2.167505956578352,2.1420653923432798,0,0,6,52.0,-1.431057097396719,-1.2647237114685213,0.3890723788166843,0
2010-01-10,Wales,0,13.902,15.495,20.267,27.787,1.697379755536596,1.168884380860601,0,0,7,88.58,-0.5919975119173726,-0.3052155698104989,0.3133237881737418,0
2010-01-11,England,0,12.095,13.333,5.94,32.986,2.723981211257948,2.5384431980089563,0,0,175,1525.0,-0.5804934521807315,-0.1751222131117478,0.3680730018631277,0
2010-01-11,Scotland,0,9.008,10.463,3.85,31.524,2.818922853046476,2.568151577015044,0,0,12,57.0,-1.104102415152756,-0.2416088664220508,0.3200735824255965,0
2010-01-11,Wales,0,12.66,13.345,5.9,36.238,2.7244096596531606,2.5425542967125754,0,0,9,78.8,-0.7092052224431049,0.2385497845712352,0.3569188358503172,0
2010-01-12,England,0,-1.499,-0.046,1.22,23.15,2.7122391516101705,2.707816234304986,0,0,160,1535.0,-0.5132212838726603,-0.4892745224995665,0.3449701676394823,0
2010-01-12,Scotland,0,-4.285,-2.424,2.075,12.616,2.630454999631549,2.7353324277026663,0,0,12,54.0,-1.0983604668713662,-0.2316657259653257,0.3196461014617971,0
2010-01-12,Wales,0,-0.18,1.512,0.367,25.245,2.712913056248872,2.7087324731927653,0,0,13,60.77,-0.9447406840987588,1.2428358989768693,0.4357006265947467,0
2010-01-13,England,0,0.595,2.284,0.56,8.796,2.7280000041393087,2.523894718751292,0,0,250,1288.65,-1.3426002906334975,1.417063996234443,0.4457778310725543,0
2010-01-13,Scotland,0,1.118,2.801,1.875,16.222,2.855439581302261,2.9232810859291223,0,0,17,58.0,-0.8825941881915466,0.6568818113193503,0.2532592440827922,0
2010-01-13,Wales,0,1.166,3.128,0.0,10.435,2.728590242709267,2.528270637937549,0,0,10,65.1,-0.8113961804634178,0.3818056258614722,0.36191602621364,0
2010-01-14,England,0,3.526,6.664,2.34,25.542,2.673533012350581,2.784801937043465,0,0,189,1288.65,-1.2155947004227985,0.0610439212320273,0.3307780572649085,0
2010-01-14,Scotland,0,4.122,6.951,0.625,28.849,2.9649897660696163,3.307658590460394,0,0,24,55.0,-0.9268800743935038,1.679613067440497,0.1491079658832064,0
2010-01-14,Wales,0,5.948,9.178,4.767,33.154,2.674939426822581,2.783982968202663,0,0,3,65.1,-0.7649611387104154,-1.4580042515423366,0.1825587529904236,0
2010-01-15,England,0,5.141,7.364,8.14,31.446,2.2826773404421004,2.733545489288449,0,0,241,1288.65,-1.1194967775685185,1.1580232717504395,0.4424042276933861,0
2010-01-15,Scotland,0,4.675,6.576,11.575,37.653,2.399586205824834,3.4011137243851515,0,0,15,52.0,-0.970093268749304,0.1195533631314434,0.2974792872086778,0
